loss,accuracy,val_loss,val_accuracy
0.05094629526138306,0.9890239238739014,0.10194844752550125,0.9731781482696533
0.017453378066420555,0.9949150681495667,0.08338024467229843,0.977226734161377
0.01027767825871706,0.9976435303688049,0.07339831441640854,0.9779858589172363
0.0073799933306872845,0.9985737204551697,0.06940720230340958,0.9795040488243103
0.005695709493011236,0.9986357688903809,0.06428385525941849,0.9822874665260315
0.004600505344569683,0.9988837838172913,0.06253155320882797,0.9820343852043152
0.003810123773291707,0.9989457726478577,0.05829010158777237,0.9845647811889648
0.0032471134327352047,0.9990078210830688,0.05699119344353676,0.9853239059448242
0.002759705064818263,0.9991938471794128,0.05520569160580635,0.9855769276618958
0.002383295213803649,0.999441921710968,0.05444527789950371,0.9860829710960388
0.002118509728461504,0.999441921710968,0.052281130105257034,0.9863360524177551
0.0018588426755741239,0.999441921710968,0.052210353314876556,0.9865890741348267
0.0016455053118988872,0.999627947807312,0.049930669367313385,0.9868420958518982
0.0014826295664533973,0.9995039105415344,0.04933531582355499,0.987348198890686
0.0013282084837555885,0.999627947807312,0.04936504364013672,0.9876012206077576
